Genus_and_species,species,Schooling,Diet_2012,Size_class
enneapterygius_atrogulare,enneapterygius atrogulare,S,IM,1
enneapterygius_etheostomus,enneapterygius etheostomus,S,IM,1
enneapterygius_flavoccipitis,enneapterygius flavoccipitis,S,IM,1
enneapterygius_howensis,enneapterygius howensis,S,IM,1
enneapterygius_larsonae,enneapterygius larsonae,S,IM,1
enneapterygius_mirabilis,enneapterygius mirabilis,S,IM,1
enneapterygius_rufopileus,enneapterygius rufopileus,S,IM,1
enneapterygius_similis,enneapterygius similis,S,IM,1
enneapterygius_sp_[red_sea],enneapterygius sp [red sea],S,IM,1
enneapterygius_tutuilae,enneapterygius tutuilae,S,PK,1
entomacrodus_marmoratus,entomacrodus marmoratus,S,HD,3
entomacrodus_sp_aotep_n,entomacrodus sp aotep n,S,HD,3
epibulus_brevis,epibulus brevis,S,FC,3
epibulus_insidiator,epibulus insidiator,S,FC,4
epibulus_sp,epibulus sp,S,FC,4
epinephelus_adscensionis,epinephelus adscensionis,S,IM,5
epinephelus_analogus,epinephelus analogus,S,FC,6
epinephelus_bilobatus,epinephelus bilobatus,S,FC,4
epinephelus_bleekeri,epinephelus bleekeri,S,FC,5
epinephelus_clippertonensis,epinephelus clippertonensis,S,FC,5
epinephelus_coeruleopunctatus,epinephelus coeruleopunctatus,S,FC,5
epinephelus_coioides,epinephelus coioides,S,FC,6
epinephelus_corallicola,epinephelus corallicola,S,FC,4
epinephelus_cyanopodus,epinephelus cyanopodus,S,FC,5
epinephelus_daemelii,epinephelus daemelii,S,FC,6
epinephelus_fasciatus,epinephelus fasciatus,S,FC,4
epinephelus_fuscoguttatus,epinephelus fuscoguttatus,S,FC,6
epinephelus_guttatus,epinephelus guttatus,S,IM,5
epinephelus_hexagonatus,epinephelus hexagonatus,S,FC,4
epinephelus_howlandi,epinephelus howlandi,S,FC,4
epinephelus_irroratus,epinephelus irroratus,S,FC,4
epinephelus_itajara,epinephelus itajara,S,IM,6
epinephelus_labriformis,epinephelus labriformis,S,FC,5
epinephelus_lanceolatus,epinephelus lanceolatus,S,FC,6
epinephelus_longispinis,epinephelus longispinis,S,FC,5
epinephelus_macrospilos,epinephelus macrospilos,S,FC,4
epinephelus_maculatus,epinephelus maculatus,S,FC,5
epinephelus_malabaricus,epinephelus malabaricus,S,FC,6
epinephelus_melanostigma,epinephelus melanostigma,S,FC,4
epinephelus_merra,epinephelus merra,S,FC,4
epinephelus_morio,epinephelus morio,S,IM,6
epinephelus_multinotatus,epinephelus multinotatus,S,FC,5
epinephelus_octofasciatus,epinephelus octofasciatus,S,FC,5
epinephelus_ongus,epinephelus ongus,S,FC,4
epinephelus_polyphekadion,epinephelus polyphekadion,S,FC,5
epinephelus_quoyanus,epinephelus quoyanus,S,FC,4
epinephelus_rivulatus,epinephelus rivulatus,S,FC,4
epinephelus_socialis,epinephelus socialis,S,FC,5
epinephelus_sp,epinephelus sp,S,FC,5
epinephelus_spilotoceps,epinephelus spilotoceps,S,FC,4
epinephelus_striatus,epinephelus striatus,S,IM,6
epinephelus_tauvina,epinephelus tauvina,S,FC,5
epinephelus_trimaculatus,epinephelus trimaculatus,S,FC,4
epinephelus_tukula,epinephelus tukula,S,FC,6
equetus_lanceolatus,equetus lanceolatus,F,IM,4
equetus_punctatus,equetus punctatus,F,IM,4
eviota_albolineata,eviota albolineata,F,IM,1
eviota_atriventris,eviota atriventris,F,IM,1
eviota_bifasciata,eviota bifasciata,F,IM,1
eviota_bimaculata,eviota bimaculata,F,IM,1
eviota_fasciola,eviota fasciola,S,IM,1
eviota_guttata,eviota guttata,F,IM,1
eviota_hoesei,eviota hoesei,S,IM,1
eviota_lachdeberei,eviota lachdeberei,F,IM,1
eviota_latifasciata,eviota latifasciata,S,IM,1
eviota_melasma,eviota melasma,S,IM,1
eviota_natalis,eviota natalis,S,IM,1
eviota_nigriventris,eviota nigriventris,F,IM,1
eviota_pellucida,eviota pellucida,F,IM,1
eviota_prasina,eviota prasina,S,IM,1
eviota_prasites,eviota prasites,F,IM,1
eviota_punctulata,eviota punctulata,S,IM,1
eviota_queenslandica,eviota queenslandica,F,IM,1
eviota_raja,eviota raja,S,IM,1
eviota_readerae,eviota readerae,S,IM,1
eviota_rubriceps,eviota rubriceps,S,IM,1
eviota_rubrisparsa,eviota rubrisparsa,S,IM,1
eviota_sebreei,eviota sebreei,F,IM,1
eviota_sigillata,eviota sigillata,F,IM,1
eviota_smaragdus,eviota smaragdus,S,IM,1
eviota_sp,eviota sp,S,IM,1
eviota_spd,eviota spd,S,IM,1
eviota_spilota,eviota spilota,S,IM,1
eviota_storthynx,eviota storthynx,S,IM,1
eviota_zebrina,eviota zebrina,S,IM,1
exallias_brevis,exallias brevis,S,IS,3
exyrias_belissimus,exyrias belissimus,S,IM,3
fistularia_commersonii,fistularia commersonii,F,FC,6
fistularia_petimba,fistularia petimba,F,FC,6
fistularia_tabacaria,fistularia tabacaria,S,FC,6
foa_brachygramma,foa brachygramma,S,IM,2
forcipiger_flavissimus,forcipiger flavissimus,P,IM,4
forcipiger_longirostris,forcipiger longirostris,P,IM,4
fusigobius_aureus,fusigobius aureus,S,IM,2
fusigobius_duospilus,fusigobius duospilus,F,IM,2
fusigobius_inframaculatus,fusigobius inframaculatus,S,IM,2
fusigobius_melacron,fusigobius melacron,S,IM,2
fusigobius_neophytus,fusigobius neophytus,S,IM,2
fusigobius_signipinnis,fusigobius signipinnis,S,IM,2
fusigobius_sp_[fine_spots],fusigobius sp [fine spots],S,IM,2
genicanthus_caudovittatus,genicanthus caudovittatus,F,PK,3
genicanthus_lamarck,genicanthus lamarck,F,PK,4
genicanthus_melanospilos,genicanthus melanospilos,F,PK,3
genicanthus_semicinctus,genicanthus semicinctus,F,PK,3
genicanthus_watanabei,genicanthus watanabei,F,PK,3
gerres_cinereus,gerres cinereus,L,IM,5
gerres_oblongus,gerres oblongus,M,IM,3
gerres_ovatus,gerres ovatus,M,IM,3
gerres_oyena,gerres oyena,M,IM,3
gerres_subfasciatus,gerres subfasciatus,M,IM,3
ginglymostoma_cirratum,ginglymostoma cirratum,M,IM,3
gnathodentex_aureolineatus,gnathodentex aureolineatus,L,IM,4
gnathodentex_aurolineatus,gnathodentex aurolineatus,L,IM,4
gnatholepis_anjerensis,gnatholepis anjerensis,S,OM,2
gnatholepis_cauerensis,gnatholepis cauerensis,S,OM,2
gnatholepis_pascuensis,gnatholepis pascuensis,S,OM,1
gnatholepis_species,gnatholepis species,S,OM,1
gnatholepis_thompsoni,gnatholepis thompsoni,F,OM,2
gobiodon_ceramensis,gobiodon ceramensis,P,IM,1
gobiodon_citrinus,gobiodon citrinus,P,IM,1
gobiodon_heterospilos,gobiodon heterospilos,S,IM,1
gobiodon_histrio,gobiodon histrio,S,IM,1
gobiodon_okinawae,gobiodon okinawae,P,IM,1
gobiodon_prolixus,gobiodon prolixus,S,IM,1
gobiodon_quinquestrigatus,gobiodon quinquestrigatus,S,IM,1
gobiodon_rivulatus,gobiodon rivulatus,S,IM,1
gobiodon_sp,gobiodon sp,S,IM,1
gobiodon_spilophthalmus,gobiodon spilophthalmus,S,IM,1
gomphosus_caeruleus,gomphosus caeruleus,S,IM,3
gomphosus_varius,gomphosus varius,S,IM,3
gracila_albomarginata,gracila albomarginata,S,FC,4
gramma_brasiliensis,gramma brasiliensis,F,IM,2
gramma_loreto,gramma loreto,F,IM,2
grammistes_sexlineatus,grammistes sexlineatus,S,FC,4
gunnellichthys_curiosus,gunnellichthys curiosus,P,PK,3
gunnellichthys_monostigma,gunnellichthys monostigma,P,PK,2
gymnocranius_audleyi,gymnocranius audleyi,F,IM,4
gymnocranius_euanus,gymnocranius euanus,F,IM,5
gymnocranius_microdon,gymnocranius microdon,F,IM,4
gymnomuraena_zebra,gymnomuraena zebra,S,FC,6
gymnothorax_annasona,gymnothorax annasona,S,FC,5
gymnothorax_breedeni,gymnothorax breedeni,S,FC,6
gymnothorax_buroensis,gymnothorax buroensis,S,IM,4
gymnothorax_castaneus,gymnothorax castaneus,S,FC,6
gymnothorax_dovii,gymnothorax dovii,S,FC,6
gymnothorax_eurostus,gymnothorax eurostus,S,FC,5
gymnothorax_favagineus,gymnothorax favagineus,S,FC,6
gymnothorax_fimbriatus,gymnothorax fimbriatus,S,FC,5
gymnothorax_flavimarginatus,gymnothorax flavimarginatus,S,FC,6
gymnothorax_funebris,gymnothorax funebris,S,FC,6
gymnothorax_griseus,gymnothorax griseus,S,IM,5
gymnothorax_isingteena,gymnothorax isingteena,S,FC,6
gymnothorax_javanicus,gymnothorax javanicus,S,FC,6
gymnothorax_melatremus,gymnothorax melatremus,S,IM,4
gymnothorax_meleagris,gymnothorax meleagris,S,FC,6
gymnothorax_miliaris,gymnothorax miliaris,S,IM,5
gymnothorax_moringa,gymnothorax moringa,S,FC,6
gymnothorax_nubilus,gymnothorax nubilus,S,IM,5
gymnothorax_nudivomer,gymnothorax nudivomer,S,FC,6
gymnothorax_panamensis,gymnothorax panamensis,S,IM,5
gymnothorax_pictus,gymnothorax pictus,S,FC,6
gymnothorax_porphyreus,gymnothorax porphyreus,S,IM,4
gymnothorax_prionodon,gymnothorax prionodon,S,FC,5
gymnothorax_sp,gymnothorax sp,S,FC,5
gymnothorax_sp_aotep_cabo_verde,gymnothorax sp aotep cabo verde,S,FC,5
gymnothorax_thrysoideus,gymnothorax thrysoideus,S,FC,5
gymnothorax_thyrsoideus,gymnothorax thyrsoideus,S,IM,5
gymnothorax_undulatus,gymnothorax undulatus,S,FC,6
gymnothorax_vicinus,gymnothorax vicinus,S,FC,6
gymnothorax_zonipectis,gymnothorax zonipectis,S,FC,5
haemulon_album,haemulon album,M,IM,5
haemulon_aurolineatum,haemulon aurolineatum,L,IM,4
haemulon_carbonarium,haemulon carbonarium,M,IM,4
haemulon_chrysargyreum,haemulon chrysargyreum,M,IM,4
haemulon_flaviguttatum,haemulon flaviguttatum,L,IM,5
haemulon_flavolineatum,haemulon flavolineatum,M,IM,4
haemulon_macrostomum,haemulon macrostomum,M,IM,5
haemulon_maculicauda,haemulon maculicauda,M,IM,4
haemulon_melanurum,haemulon melanurum,M,IM,4
haemulon_parra,haemulon parra,M,IM,5
haemulon_plumierii,haemulon plumierii,M,IM,5
haemulon_sciurus,haemulon sciurus,M,IM,5
haemulon_scudderii,haemulon scudderii,M,IM,4
haemulon_sexfasciatum,haemulon sexfasciatum,M,IM,5
haemulon_squamipinna,haemulon squamipinna,L,IM,3
haemulon_steindachneri,haemulon steindachneri,M,IM,4
haemulon_vittatum,haemulon vittatum,M,IM,4
halichoeres_adustus,halichoeres adustus,F,IM,3
halichoeres_argus,halichoeres argus,F,IM,3
halichoeres_biocellatus,halichoeres biocellatus,S,IM,3
halichoeres_bivittatus,halichoeres bivittatus,S,IM,4
halichoeres_brasiliensis,halichoeres brasiliensis,S,IM,1
halichoeres_brownfieldi,halichoeres brownfieldi,F,IM,3
halichoeres_chierchiae,halichoeres chierchiae,F,IM,3
halichoeres_chloropterus,halichoeres chloropterus,S,IM,3
halichoeres_chrysus,halichoeres chrysus,F,IM,3
halichoeres_cosmetus,halichoeres cosmetus,S,IM,3
halichoeres_cyanocephalus,halichoeres cyanocephalus,S,IM,4
halichoeres_dimidiatus,halichoeres dimidiatus,S,IM,1
halichoeres_discolor,halichoeres discolor,F,IM,3
halichoeres_dispilus,halichoeres dispilus,F,IM,4
halichoeres_erdmanni,halichoeres erdmanni,F,IM,4
halichoeres_garnoti,halichoeres garnoti,S,IM,3
halichoeres_hartzfeldii,halichoeres hartzfeldii,F,IM,3
halichoeres_hortulanus,halichoeres hortulanus,S,IM,4
halichoeres_insularis,halichoeres insularis,F,IM,2
halichoeres_iridis,halichoeres iridis,S,IM,3
halichoeres_leucurus,halichoeres leucurus,S,IM,3
halichoeres_maculipinna,halichoeres maculipinna,S,IM,3
halichoeres_malpelo,halichoeres malpelo,F,IM,3
halichoeres_margaritaceus,halichoeres margaritaceus,F,IM,3
halichoeres_marginatus,halichoeres marginatus,S,IM,3
halichoeres_melanochir,halichoeres melanochir,S,IM,3
halichoeres_melanotis,halichoeres melanotis,F,IM,3
halichoeres_melanurus,halichoeres melanurus,F,IM,3
halichoeres_melasmapomus,halichoeres melasmapomus,S,IM,3
halichoeres_miniatus,halichoeres miniatus,S,IM,2
halichoeres_nebulosus,halichoeres nebulosus,F,IM,3
halichoeres_nicholsi,halichoeres nicholsi,F,IM,4
halichoeres_nigrescens,halichoeres nigrescens,F,IM,3
halichoeres_notospilus,halichoeres notospilus,F,IM,4
halichoeres_orientalis,halichoeres orientalis,S,IM,3
halichoeres_ornatissimus,halichoeres ornatissimus,S,IM,3
halichoeres_pelicieri,halichoeres pelicieri,S,IM,1
halichoeres_penrosei,halichoeres penrosei,S,IM,2
halichoeres_pictus,halichoeres pictus,S,IM,3
halichoeres_podostigma,halichoeres podostigma,S,IM,3
halichoeres_poeyi,halichoeres poeyi,S,IM,4
halichoeres_prosopeion,halichoeres prosopeion,S,IM,3
halichoeres_radiatus,halichoeres radiatus,S,IM,5
halichoeres_richmondi,halichoeres richmondi,F,IM,3
halichoeres_rubrovirens,halichoeres rubrovirens,F,IM,3
halichoeres_salmofasciatus,halichoeres salmofasciatus,F,IM,2
halichoeres_sazimai,halichoeres sazimai,S,IM,4
halichoeres_scapularis,halichoeres scapularis,S,IM,3
halichoeres_semicinctus,halichoeres semicinctus,F,IM,4
halichoeres_solorensis,halichoeres solorensis,F,IM,3
halichoeres_sp,halichoeres sp,F,IM,3
halichoeres_tenuispinis,halichoeres tenuispinis,F,IM,3
halichoeres_timorensis,halichoeres timorensis,F,IM,2
halichoeres_trimaculatus,halichoeres trimaculatus,F,IM,4
halichoeres_zeylonicus,halichoeres zeylonicus,F,IM,3
helcogramma_chica,helcogramma chica,S,IM,1
helcogramma_sp,helcogramma sp,S,IM,1
helcogramma_striatum,helcogramma striatum,S,PK,1
hemigymnus_fasciatus,hemigymnus fasciatus,S,IM,4
hemigymnus_melapterus,hemigymnus melapterus,S,IM,5
hemitaurichthys_multispinosus,hemitaurichthys multispinosus,M,PK,3
hemitaurichthys_polylepis,hemitaurichthys polylepis,F,PK,3
hemitaurichthys_thompsoni,hemitaurichthys thompsoni,L,PK,3
hemitaurichthys_zoster,hemitaurichthys zoster,L,PK,3
heniochus_acuminatus,heniochus acuminatus,P,IM,4
heniochus_chrysostomus,heniochus chrysostomus,P,IM,3
heniochus_diphreutes,heniochus diphreutes,M,PK,4
heniochus_intermedius,heniochus intermedius,M,IM,3
heniochus_monoceros,heniochus monoceros,P,IM,4
heniochus_pleurotaenia,heniochus pleurotaenia,M,IM,3
heniochus_singularius,heniochus singularius,P,IM,4
heniochus_varius,heniochus varius,P,IM,3
heteroconger_hassi,heteroconger hassi,F,PK,4
heteroconger_klausewitzi,heteroconger klausewitzi,M,PK,5
heteropriacanthus_cruentatus,heteropriacanthus cruentatus,F,IM,5
hippocampus_bargibanti,hippocampus bargibanti,S,IM,1
hippocampus_ingens,hippocampus ingens,S,IM,4
hippocampus_pontohi,hippocampus pontohi,S,IM,1
hippocampus_reidi,hippocampus reidi,S,IM,3
hipposcarus_harid,hipposcarus harid,M,HD,5
hipposcarus_longiceps,hipposcarus longiceps,M,HD,5
holacanthus_africanus,holacanthus africanus,S,IS,5
holacanthus_bermudensis,holacanthus bermudensis,S,IS,5
holacanthus_ciliaris,holacanthus ciliaris,S,IS,5
holacanthus_clarionensis,holacanthus clarionensis,F,IM,4
holacanthus_passer,holacanthus passer,S,IS,4
holacanthus_tricolor,holacanthus tricolor,S,IS,4
hologymnosus_annulatus,hologymnosus annulatus,S,IM,4
hologymnosus_doliatus,hologymnosus doliatus,F,IM,5
hologymnosus_sp,hologymnosus sp,F,IM,5
hoplolatilus_cuniculus,hoplolatilus cuniculus,P,PK,3
hoplolatilus_starcki,hoplolatilus starcki,P,PK,3
hypleurochilus_fissicornis,hypleurochilus fissicornis,S,HD,2
hypleurochilus_pseudoaequipinnis,hypleurochilus pseudoaequipinnis,S,HD,1
hypoplectrus_aberrans,hypoplectrus aberrans,S,IM,3
hypoplectrus_chlorurus,hypoplectrus chlorurus,S,IM,3
hypoplectrus_gemma,hypoplectrus gemma,S,IM,3
hypoplectrus_guttavarius,hypoplectrus guttavarius,S,IM,3
hypoplectrus_indigo,hypoplectrus indigo,S,IM,3
hypoplectrus_nigricans,hypoplectrus nigricans,S,IM,3
hypoplectrus_providencianus,hypoplectrus providencianus,S,IM,1
hypoplectrus_puella,hypoplectrus puella,S,IM,3
hypoplectrus_sp_[2],hypoplectrus sp [2],S,IM,3
hypoplectrus_sp_[tan],hypoplectrus sp [tan],S,IM,3
hypoplectrus_sp_aotep,hypoplectrus sp aotep,S,IM,3
hypoplectrus_unicolor,hypoplectrus unicolor,S,IM,3
iniistius_aneitensis,iniistius aneitensis,S,IM,3
iniistius_celebicus,iniistius celebicus,S,IM,3
iniistius_pavo,iniistius pavo,S,IM,4
istigobius_decoratus,istigobius decoratus,S,IM,2
istigobius_diadema,istigobius diadema,S,IM,2
istigobius_goldmanni,istigobius goldmanni,S,IM,2
istigobius_nigroocellatus,istigobius nigroocellatus,S,IM,2
istigobius_ornatus,istigobius ornatus,S,IM,2
istigobius_rigilius,istigobius rigilius,S,IM,2
istigobius_spence,istigobius spence,S,IM,2
itycirrhitus_wilhelmi,itycirrhitus wilhelmi,S,IM,2
koumansetta_hectori,koumansetta hectori,S,IM,1
koumansetta_rainfordi,koumansetta rainfordi,S,IM,1
kuhlia_mugil,kuhlia mugil,M,IM,4
kuhlia_sandvicensis,kuhlia sandvicensis,M,IM,3
kyphosus_analogus,kyphosus analogus,M,HM,5
kyphosus_bigibbus,kyphosus bigibbus,M,HM,5
kyphosus_cinerascens,kyphosus cinerascens,M,HM,5
kyphosus_elegans,kyphosus elegans,L,HM,5
kyphosus_incisor,kyphosus incisor,M,HM,6
kyphosus_sandvicensis,kyphosus sandvicensis,M,HM,5
kyphosus_sectatrix,kyphosus sectatrix,M,HM,5
kyphosus_sp,kyphosus sp,M,HM,5
kyphosus_spp,kyphosus spp,M,HM,5
kyphosus_spp_aotep,kyphosus spp aotep,M,HM,5
kyphosus_sydneyanus,kyphosus sydneyanus,M,HD,5
kyphosus_vaigiensis,kyphosus vaigiensis,M,HD,5
labrichthys_unilineatus,labrichthys unilineatus,S,IM,3
labrisomus_cricota,labrisomus cricota,S,IM,2
labrisomus_dendriticus,labrisomus dendriticus,S,IM,3
labrisomus_kalisherae,labrisomus kalisherae,S,IM,2
labrisomus_multiporosus,labrisomus multiporosus,S,IM,3
labrisomus_nuchipinnis,labrisomus nuchipinnis,S,IM,4
labroides_bicolor,labroides bicolor,P,IM,3
labroides_dimidiatus,labroides dimidiatus,P,IM,3
labroides_pectoralis,labroides pectoralis,S,IM,2
labroides_phthirophagus,labroides phthirophagus,P,IM,3
labroides_rubrolabiatus,labroides rubrolabiatus,P,IM,3
labropsis_alleni,labropsis alleni,P,IM,2
labropsis_australis,labropsis australis,P,IM,2
labropsis_manabei,labropsis manabei,P,IM,3
labropsis_micronesica,labropsis micronesica,S,IM,3
labropsis_polynesica,labropsis polynesica,P,IM,3
labropsis_xanthonota,labropsis xanthonota,S,IM,3
lachnolaimus_maximus,lachnolaimus maximus,S,IM,6
lactophrys_bicaudalis,lactophrys bicaudalis,S,IM,5
lactophrys_trigonus,lactophrys trigonus,S,IM,5
lactophrys_triqueter,lactophrys triqueter,S,IM,5
lactoria_diaphana,lactoria diaphana,S,IM,4
lactoria_fornasini,lactoria fornasini,S,IM,3
lepidozygus_tapeinosoma,lepidozygus tapeinosoma,L,PK,2
leptoscarus_vaigiensis,leptoscarus vaigiensis,M,HD,4
lethrinus_amboinensis,lethrinus amboinensis,F,IM,5
lethrinus_atkinsoni,lethrinus atkinsoni,M,IM,4
lethrinus_atlanticus,lethrinus atlanticus,S,IM,5
lethrinus_borbonicus,lethrinus borbonicus,S,IM,4
lethrinus_erythracanthus,lethrinus erythracanthus,S,IM,5
lethrinus_erythropterus,lethrinus erythropterus,F,IM,5
lethrinus_genivittatus,lethrinus genivittatus,M,IM,3
lethrinus_harak,lethrinus harak,F,IM,4
lethrinus_laticaudis,lethrinus laticaudis,M,IM,5
lethrinus_lentjan,lethrinus lentjan,F,IM,4
lethrinus_microdon,lethrinus microdon,F,FC,5
lethrinus_miniatus,lethrinus miniatus,F,FC,5
lethrinus_nebulosus,lethrinus nebulosus,M,IM,5
lethrinus_obsoletus,lethrinus obsoletus,F,IM,4
lethrinus_olivaceus,lethrinus olivaceus,S,FC,6
lethrinus_ornatus,lethrinus ornatus,F,IM,4
lethrinus_rubrioperculatus,lethrinus rubrioperculatus,M,IM,4
lethrinus_semicinctus,lethrinus semicinctus,M,IM,4
lethrinus_sp,lethrinus sp,M,IM,4
lethrinus_variegatus,lethrinus variegatus,M,IM,3
lethrinus_xanthochilus,lethrinus xanthochilus,S,IM,5
liopropoma_rubre,liopropoma rubre,S,IM,3
lotilia_graciliosa,lotilia graciliosa,S,IM,1
lotilia_klausewitzi,lotilia klausewitzi,S,IM,1
lucayablennius_zingaro,lucayablennius zingaro,S,IM,1
lutjanus_alexandrei,lutjanus alexandrei,F,IM,6
lutjanus_analis,lutjanus analis,F,IM,6
lutjanus_apodus,lutjanus apodus,F,IM,5
lutjanus_aratus,lutjanus aratus,S,FC,6
lutjanus_argentimaculatus,lutjanus argentimaculatus,M,FC,6
lutjanus_argentiventris,lutjanus argentiventris,F,IM,5
lutjanus_aurorubens,lutjanus aurorubens,F,IM,5
