Genus_and_species,species,Schooling,Diet_2012,Size_class
lutjanus_bengalensis,lutjanus bengalensis,M,IM,4
lutjanus_biguttatus,lutjanus biguttatus,M,IM,3
lutjanus_bohar,lutjanus bohar,M,FC,6
lutjanus_carponotatus,lutjanus carponotatus,M,FC,4
lutjanus_chrysurus,lutjanus chrysurus,F,IM,5
lutjanus_colorado,lutjanus colorado,S,IM,6
lutjanus_cyanopterus,lutjanus cyanopterus,F,FC,6
lutjanus_decussatus,lutjanus decussatus,F,FC,4
lutjanus_ehrenbergii,lutjanus ehrenbergii,F,IM,4
lutjanus_erythropterus,lutjanus erythropterus,F,IM,6
lutjanus_fulgens,lutjanus fulgens,F,IM,5
lutjanus_fulviflamma,lutjanus fulviflamma,M,IM,4
lutjanus_fulvus,lutjanus fulvus,F,IM,4
lutjanus_gibbus,lutjanus gibbus,M,IM,5
lutjanus_goreensis,lutjanus goreensis,F,IM,6
lutjanus_griseus,lutjanus griseus,F,IM,6
lutjanus_guttatus,lutjanus guttatus,F,IM,5
lutjanus_inermis,lutjanus inermis,F,PK,4
lutjanus_jocu,lutjanus jocu,F,IM,6
lutjanus_johnii,lutjanus johnii,F,IM,5
lutjanus_jordani,lutjanus jordani,F,FC,5
lutjanus_kasmira,lutjanus kasmira,L,IM,4
lutjanus_lemniscatus,lutjanus lemniscatus,F,IM,5
lutjanus_lutjanus,lutjanus lutjanus,L,IM,4
lutjanus_mahogoni,lutjanus mahogoni,F,IM,5
lutjanus_monostigma,lutjanus monostigma,F,FC,5
lutjanus_novemfasciatus,lutjanus novemfasciatus,S,FC,6
lutjanus_quinquelineatus,lutjanus quinquelineatus,L,IM,4
lutjanus_rivulatus,lutjanus rivulatus,S,FC,5
lutjanus_rufolineatus,lutjanus rufolineatus,L,IM,4
lutjanus_russelli,lutjanus russelli,F,FC,4
lutjanus_russellii,lutjanus russellii,F,FC,4
lutjanus_sebae,lutjanus sebae,F,FC,5
lutjanus_semicinctus,lutjanus semicinctus,F,FC,4
lutjanus_sp,lutjanus sp,F,FC,4
lutjanus_synagris,lutjanus synagris,F,IM,5
lutjanus_viridis,lutjanus viridis,L,FC,4
lutjanus_vitta,lutjanus vitta,M,FC,4
lutjanus_vittus,lutjanus vittus,M,FC,4
luzonichthys_microlepis,luzonichthys microlepis,L,PK,2
luzonichthys_waitei,luzonichthys waitei,L,PK,2
luzonichthys_whitleyi,luzonichthys whitleyi,L,PK,2
macolor_macularis,macolor macularis,M,PK,5
macolor_niger,macolor niger,M,PK,5
macropharyngodon_bipartitus,macropharyngodon bipartitus,F,IM,3
macropharyngodon_choati,macropharyngodon choati,S,IM,2
macropharyngodon_cyanoguttatus,macropharyngodon cyanoguttatus,F,IM,3
macropharyngodon_geoffroy,macropharyngodon geoffroy,S,IM,3
macropharyngodon_kuiteri,macropharyngodon kuiteri,S,IM,3
macropharyngodon_meleagris,macropharyngodon meleagris,F,IM,3
macropharyngodon_negrosensis,macropharyngodon negrosensis,F,IM,3
macropharyngodon_ornatus,macropharyngodon ornatus,F,IM,3
macropharyngodon_sp,macropharyngodon sp,F,IM,3
malacanthus_brevirostris,malacanthus brevirostris,P,IM,4
malacanthus_latovittatus,malacanthus latovittatus,P,IM,4
malacanthus_plumieri,malacanthus plumieri,S,IM,5
malacoctenus_boehlkei,malacoctenus boehlkei,S,IM,2
malacoctenus_brunoi,malacoctenus brunoi,S,IM,2
malacoctenus_delalandii,malacoctenus delalandii,S,IM,2
malacoctenus_ebisui,malacoctenus ebisui,S,IM,2
malacoctenus_macropus,malacoctenus macropus,S,IM,2
malacoctenus_margaritae,malacoctenus margaritae,S,IM,2
malacoctenus_sp_aotep_1,malacoctenus sp aotep 1,S,IM,2
malacoctenus_sp_aotep_2,malacoctenus sp aotep 2,S,IM,2
malacoctenus_sp_aotep_3,malacoctenus sp aotep 3,S,IM,2
malacoctenus_tetranemus,malacoctenus tetranemus,S,IM,2
malacoctenus_triangulatus,malacoctenus triangulatus,S,IM,2
malacoctenus_zonifer,malacoctenus zonifer,S,IM,2
meiacanthus_atrodorsalis,meiacanthus atrodorsalis,P,IM,2
meiacanthus_bundoon,meiacanthus bundoon,P,PK,2
meiacanthus_crinitus,meiacanthus crinitus,P,PK,1
meiacanthus_ditrema,meiacanthus ditrema,F,PK,2
meiacanthus_grammistes,meiacanthus grammistes,S,PK,2
meiacanthus_kamoharai,meiacanthus kamoharai,P,IM,2
meiacanthus_lineatus,meiacanthus lineatus,S,PK,2
meiacanthus_luteus,meiacanthus luteus,S,PK,2
meiacanthus_mossambicus,meiacanthus mossambicus,S,IM,2
meiacanthus_nigrolineatus,meiacanthus nigrolineatus,S,PK,2
meiacanthus_oualanensis,meiacanthus oualanensis,P,IM,2
meiacanthus_phaeus,meiacanthus phaeus,F,PK,1
meiacanthus_smithi,meiacanthus smithi,P,PK,2
meiacanthus_sp,meiacanthus sp,P,PK,2
meiacanthus_tongaensis,meiacanthus tongaensis,M,PK,2
melichthys_indicus,melichthys indicus,M,PK,4
melichthys_niger,melichthys niger,M,PK,4
melichthys_sp,melichthys sp,M,PK,4
melichthys_vidua,melichthys vidua,M,PK,4
micrognathus_crinitus,micrognathus crinitus,S,IM,3
microspathodon_bairdii,microspathodon bairdii,S,IM,4
microspathodon_chrysurus,microspathodon chrysurus,S,HD,4
microspathodon_dorsalis,microspathodon dorsalis,S,IM,4
microspathodon_frontatus,microspathodon frontatus,S,HD,3
monacanthus_chinensis,monacanthus chinensis,S,OM,4
monacanthus_tuckeri,monacanthus tuckeri,S,IM,3
monotaxis_grandoculis,monotaxis grandoculis,S,IM,5
monotaxis_heterodon,monotaxis heterodon,S,IM,5
mulloidichthys_dentatus,mulloidichthys dentatus,L,IM,4
mulloidichthys_flavolineatus,mulloidichthys flavolineatus,M,IM,4
mulloidichthys_martinicus,mulloidichthys martinicus,M,IM,4
mulloidichthys_mimicus,mulloidichthys mimicus,F,IM,4
mulloidichthys_vanicolensis,mulloidichthys vanicolensis,M,IM,4
mycteroperca_acutirostris,mycteroperca acutirostris,S,FC,6
mycteroperca_bonaci,mycteroperca bonaci,S,FC,6
mycteroperca_fusca,mycteroperca fusca,S,FC,6
mycteroperca_interstitialis,mycteroperca interstitialis,S,FC,6
mycteroperca_marginata,mycteroperca marginata,S,FC,6
mycteroperca_microlepis,mycteroperca microlepis,S,FC,6
mycteroperca_olfax,mycteroperca olfax,S,IM,6
mycteroperca_phenax,mycteroperca phenax,S,FC,6
mycteroperca_rosacea,mycteroperca rosacea,S,IM,6
mycteroperca_sp_aotep,mycteroperca sp aotep,S,IM,6
mycteroperca_tigris,mycteroperca tigris,S,FC,6
mycteroperca_venenosa,mycteroperca venenosa,S,FC,6
mycteroperca_xenarcha,mycteroperca xenarcha,S,IM,6
myrichthys_breviceps,myrichthys breviceps,S,IM,6
myrichthys_maculosus,myrichthys maculosus,S,IM,5
myrichthys_ocellatus,myrichthys ocellatus,S,IM,6
myrichthys_pardalis,myrichthys pardalis,S,IM,5
myrichthys_tigrinus,myrichthys tigrinus,S,IM,5
naso_annulatus,naso annulatus,M,PK,6
naso_brachycentron,naso brachycentron,M,HD,5
naso_brevirostris,naso brevirostris,L,OM,5
naso_caeruleacauda,naso caeruleacauda,L,PK,4
naso_caesius,naso caesius,M,PK,5
naso_elegans,naso elegans,F,HD,5
naso_fageni,naso fageni,M,PK,5
naso_hexacanthus,naso hexacanthus,L,PK,5
naso_lituratus,naso lituratus,F,HD,4
naso_lopezi,naso lopezi,M,PK,5
naso_mcdadei,naso mcdadei,L,PK,5
naso_sp,naso sp,L,PK,5
naso_thynnoides,naso thynnoides,M,PK,4
naso_tonganus,naso tonganus,M,HD,5
naso_tuberosus,naso tuberosus,M,HM,5
naso_unicornis,naso unicornis,F,HD,5
naso_vlamingii,naso vlamingii,F,PK,5
nemanthias_carberryi,nemanthias carberryi,M,PK,3
nemateleotris_magnifica,nemateleotris magnifica,P,PK,2
neocirrhites_armatus,neocirrhites armatus,S,IM,2
neoglyphidodon_carlsoni,neoglyphidodon carlsoni,F,OM,3
neoglyphidodon_crossi,neoglyphidodon crossi,F,OM,3
neoglyphidodon_melas,neoglyphidodon melas,S,OM,3
neoglyphidodon_nigroris,neoglyphidodon nigroris,F,OM,2
neoglyphidodon_oxyodon,neoglyphidodon oxyodon,F,OM,3
neoglyphidodon_polyacanthus,neoglyphidodon polyacanthus,F,OM,3
neoglyphidodon_thoracotaeniatus,neoglyphidodon thoracotaeniatus,F,OM,2
neomyxus_chaptalli,neomyxus chaptalli,M,HD,5
neomyxus_leuciscus,neomyxus leuciscus,M,HD,5
neopomacentrus_anabatoides,neopomacentrus anabatoides,L,PK,2
neopomacentrus_azysron,neopomacentrus azysron,L,PK,2
neopomacentrus_bankieri,neopomacentrus bankieri,L,PK,2
neopomacentrus_cyanomos,neopomacentrus cyanomos,L,PK,2
neopomacentrus_filamentosus,neopomacentrus filamentosus,L,PK,2
neopomacentrus_metallicus,neopomacentrus metallicus,L,PK,2
neopomacentrus_miryae,neopomacentrus miryae,L,PK,2
neopomacentrus_nemurus,neopomacentrus nemurus,L,PK,2
neopomacentrus_sp,neopomacentrus sp,L,PK,2
neopomacentrus_taeniurus,neopomacentrus taeniurus,L,PK,2
neopomacentrus_violascens,neopomacentrus violascens,L,PK,2
novaculichthys_taeniourus,novaculichthys taeniourus,S,IM,4
ocyurus_chrysurus,ocyurus chrysurus,F,IM,6
odontoscion_dentex,odontoscion dentex,F,IM,4
odontoscion_eurymesops,odontoscion eurymesops,L,PK,4
odontoscion_xanthops,odontoscion xanthops,L,PK,4
odonus_niger,odonus niger,M,PK,4
omobranchus_rotundiceps,omobranchus rotundiceps,S,HD,2
ophioblennius_atlanticus,ophioblennius atlanticus,S,HD,3
ophioblennius_macclurei,ophioblennius macclurei,S,HD,3
ophioblennius_steindachneri,ophioblennius steindachneri,S,HD,3
ophioblennius_trinitatis,ophioblennius trinitatis,S,HD,1
opistognathus_aurifrons,opistognathus aurifrons,S,PK,3
opistognathus_darwiniensis,opistognathus darwiniensis,S,IM,4
opistognathus_panamaensis,opistognathus panamaensis,S,PK,3
opistognathus_panamensis,opistognathus panamensis,S,PK,3
opistognathus_randalli,opistognathus randalli,S,PK,3
oplegnathus_insignis,oplegnathus insignis,S,OM,5
oplegnathus_robinsoni,oplegnathus robinsoni,F,IM,5
ostorhinchus_angustatus,ostorhinchus angustatus,F,IM,2
ostorhinchus_aureus,ostorhinchus aureus,F,IM,2
ostorhinchus_bandanensis,ostorhinchus bandanensis,M,PM,2
ostorhinchus_cavitensis,ostorhinchus cavitensis,F,IM,2
ostorhinchus_chrysopomus,ostorhinchus chrysopomus,F,IM,2
ostorhinchus_cladophilos,ostorhinchus cladophilos,F,IM,2
ostorhinchus_compressus,ostorhinchus compressus,M,IM,2
ostorhinchus_cookii,ostorhinchus cookii,M,IM,2
ostorhinchus_cyanosoma,ostorhinchus cyanosoma,M,PK,3
ostorhinchus_dispar,ostorhinchus dispar,M,IM,3
ostorhinchus_doederleini,ostorhinchus doederleini,F,IM,3
ostorhinchus_exostigma,ostorhinchus exostigma,F,PK,3
ostorhinchus_hartzfeldii,ostorhinchus hartzfeldii,F,PK,2
ostorhinchus_kallopterus,ostorhinchus kallopterus,F,IM,2
ostorhinchus_luteus,ostorhinchus luteus,M,PK,2
ostorhinchus_monospilus,ostorhinchus monospilus,M,PK,2
ostorhinchus_multilineatus,ostorhinchus multilineatus,M,PK,2
ostorhinchus_neotes,ostorhinchus neotes,M,PK,2
ostorhinchus_nigrofasciatus,ostorhinchus nigrofasciatus,M,PK,2
ostorhinchus_pallidofasciatus,ostorhinchus pallidofasciatus,M,PK,2
ostorhinchus_parvulus,ostorhinchus parvulus,M,PK,2
ostorhinchus_properuptus,ostorhinchus properuptus,M,PK,2
ostorhinchus_rubrimacula,ostorhinchus rubrimacula,M,PK,2
ostorhinchus_rueppellii,ostorhinchus rueppellii,M,PK,2
ostorhinchus_sealei,ostorhinchus sealei,M,PK,2
ostorhinchus_taeniophorus,ostorhinchus taeniophorus,M,PK,2
ostorhinchus_wassinki,ostorhinchus wassinki,M,PK,2
ostracion_cubicus,ostracion cubicus,S,IM,4
ostracion_cyanurus,ostracion cyanurus,S,IM,3
ostracion_immaculatus,ostracion immaculatus,S,IM,4
ostracion_meleagris,ostracion meleagris,S,IM,4
ostracion_solorensis,ostracion solorensis,S,IM,4
ostracion_whitleyi,ostracion whitleyi,S,IM,4
oxycheilinus_bimaculatus,oxycheilinus bimaculatus,S,IM,3
oxycheilinus_celebicus,oxycheilinus celebicus,S,IM,3
oxycheilinus_digramma,oxycheilinus digramma,S,FC,4
oxycheilinus_digrammus,oxycheilinus digrammus,S,FC,4
oxycheilinus_lineatus,oxycheilinus lineatus,S,IM,3
oxycheilinus_mentalis,oxycheilinus mentalis,S,IM,3
oxycheilinus_nigromarginatus,oxycheilinus nigromarginatus,S,IM,3
oxycheilinus_orientalis,oxycheilinus orientalis,S,IM,3
oxycheilinus_unifasciatus,oxycheilinus unifasciatus,F,FC,4
oxycirrhites_typus,oxycirrhites typus,S,IM,3
oxymonacanthus_longirostris,oxymonacanthus longirostris,P,IM,2
parablennius_marmoreus,parablennius marmoreus,S,OM,2
parablennius_pilicornis,parablennius pilicornis,S,IM,3
parablennius_salensis,parablennius salensis,S,OM,2
parablennius_serratolineatus,parablennius serratolineatus,S,HD,2
parablennius_sp_aotep,parablennius sp aotep,S,HD,2
paracanthurus_hepatus,paracanthurus hepatus,M,HD,4
paracirrhites_arcatus,paracirrhites arcatus,S,IM,3
paracirrhites_bicolor,paracirrhites bicolor,S,IM,3
paracirrhites_forsteri,paracirrhites forsteri,S,FC,4
paracirrhites_hemistictus,paracirrhites hemistictus,S,FC,4
paracirrhites_nisus,paracirrhites nisus,S,IM,2
paracirrhites_xanthus,paracirrhites xanthus,S,IM,2
paragobiodon_echinocephalus,paragobiodon echinocephalus,S,IS,1
paragobiodon_xanthosoma,paragobiodon xanthosoma,S,IS,1
paraluteres_prionurus,paraluteres prionurus,P,IM,3
paranthias_colonus,paranthias colonus,L,PK,4
paranthias_furcifer,paranthias furcifer,M,PK,4
parapercis_australis,parapercis australis,S,IM,2
parapercis_bimacula,parapercis bimacula,S,IM,3
parapercis_clathrata,parapercis clathrata,S,FC,3
parapercis_cylindrica,parapercis cylindrica,S,IM,3
parapercis_hexophtalma,parapercis hexophtalma,S,FC,3
parapercis_lineopunctata,parapercis lineopunctata,S,FC,5
parapercis_millepunctata,parapercis millepunctata,S,IM,3
parapercis_multiplicata,parapercis multiplicata,S,IM,3
parapercis_pacifica,parapercis pacifica,S,IM,3
parapercis_polyophtalma,parapercis polyophtalma,S,IM,3
parapercis_punctulata,parapercis punctulata,S,IM,3
parapercis_queenslandica,parapercis queenslandica,S,IM,4
parapercis_schauinslandii,parapercis schauinslandii,S,IM,3
parapercis_schauislandi,parapercis schauislandi,S,IM,3
parapercis_signata,parapercis signata,S,IM,2
parapercis_snyderi,parapercis snyderi,S,IM,3
parapercis_sp,parapercis sp,S,IM,3
parapercis_stricticeps,parapercis stricticeps,S,IM,3
parapercis_tetracantha,parapercis tetracantha,S,IM,4
parapercis_xanthogramma,parapercis xanthogramma,S,IM,3
parapercis_xanthozona,parapercis xanthozona,S,IM,4
pareques_acuminatus,pareques acuminatus,F,IM,4
pareques_perissa,pareques perissa,M,IM,4
pareques_viola,pareques viola,M,IM,4
parupeneus_barberinoides,parupeneus barberinoides,M,IM,4
parupeneus_barberinus,parupeneus barberinus,S,IM,5
parupeneus_bifasciatus,parupeneus bifasciatus,F,IM,4
parupeneus_chrysopleuron,parupeneus chrysopleuron,F,IM,4
parupeneus_ciliatus,parupeneus ciliatus,F,IM,4
parupeneus_crassilabris,parupeneus crassilabris,F,IM,4
parupeneus_cyclostomus,parupeneus cyclostomus,S,FC,5
parupeneus_forsskali,parupeneus forsskali,F,IM,3
parupeneus_heptacanthus,parupeneus heptacanthus,F,IM,4
parupeneus_indicus,parupeneus indicus,F,IM,4
parupeneus_insularis,parupeneus insularis,F,IM,3
parupeneus_macronemus,parupeneus macronemus,F,IM,4
parupeneus_multifasciatus,parupeneus multifasciatus,F,IM,4
parupeneus_orientalis,parupeneus orientalis,F,IM,4
parupeneus_pleurostigma,parupeneus pleurostigma,F,IM,4
parupeneus_porphyreus,parupeneus porphyreus,F,IM,4
parupeneus_rubescens,parupeneus rubescens,F,IM,4
parupeneus_spilurus,parupeneus spilurus,F,IM,4
parupeneus_trifasciatus,parupeneus trifasciatus,F,IM,4
pempheris_adusta,pempheris adusta,M,PK,3
pempheris_affinis,pempheris affinis,M,PK,3
pempheris_analis,pempheris analis,M,PK,3
pempheris_klunzingeri,pempheris klunzingeri,M,PK,3
pempheris_mangula,pempheris mangula,M,PK,3
pempheris_molucca,pempheris molucca,M,PK,3
pempheris_oualensis,pempheris oualensis,M,PK,4
pempheris_schomburgkii,pempheris schomburgkii,M,PK,3
pempheris_schwenkii,pempheris schwenkii,M,PK,3
pempheris_sp,pempheris sp,M,PK,3
pempheris_tominagai,pempheris tominagai,M,PK,3
pempheris_vanicolensis,pempheris vanicolensis,M,PK,4
pervagor_alternans,pervagor alternans,S,OM,3
pervagor_aspricaudus,pervagor aspricaudus,S,OM,3
pervagor_janthinosoma,pervagor janthinosoma,S,OM,3
pervagor_marginalis,pervagor marginalis,S,OM,2
pervagor_melanocephalus,pervagor melanocephalus,P,OM,2
pervagor_sp,pervagor sp,P,OM,2
pervagor_spilosoma,pervagor spilosoma,S,OM,3
plagiotremus_azaleus,plagiotremus azaleus,S,IM,3
plagiotremus_ewaensis,plagiotremus ewaensis,S,IM,2
plagiotremus_goslinei,plagiotremus goslinei,S,IM,2
plagiotremus_laudandus,plagiotremus laudandus,S,FC,2
plagiotremus_phenax,plagiotremus phenax,S,IM,2
plagiotremus_rhinorhynchos,plagiotremus rhinorhynchos,S,FC,2
plagiotremus_tapeinosoma,plagiotremus tapeinosoma,S,IM,3
plectorhinchus_albovittatus,plectorhinchus albovittatus,S,IM,6
plectorhinchus_caeruleonothus,plectorhinchus caeruleonothus,S,IM,5
plectorhinchus_chaetodonoides,plectorhinchus chaetodonoides,S,IM,5
plectorhinchus_chrysotaenia,plectorhinchus chrysotaenia,F,IM,4
plectorhinchus_chubbi,plectorhinchus chubbi,S,IM,5
plectorhinchus_diagrammus,plectorhinchus diagrammus,S,IM,4
plectorhinchus_flavomaculatus,plectorhinchus flavomaculatus,F,IM,5
plectorhinchus_gaterinus,plectorhinchus gaterinus,F,IM,5
plectorhinchus_gibbosus,plectorhinchus gibbosus,F,IM,5
plectorhinchus_lessonii,plectorhinchus lessonii,S,IM,4
plectorhinchus_lineatus,plectorhinchus lineatus,F,IM,5
plectorhinchus_multivittatus,plectorhinchus multivittatus,F,IM,5
plectorhinchus_orientalis,plectorhinchus orientalis,S,IM,5
plectorhinchus_paulayi,plectorhinchus paulayi,S,IM,5
plectorhinchus_picus,plectorhinchus picus,S,IM,5
plectorhinchus_plagiodesmus,plectorhinchus plagiodesmus,F,IM,6
plectorhinchus_playfairi,plectorhinchus playfairi,F,IM,6
plectorhinchus_polytaenia,plectorhinchus polytaenia,F,IM,5
plectorhinchus_schotaf,plectorhinchus schotaf,F,IM,6
plectorhinchus_sordidus,plectorhinchus sordidus,F,IM,5
plectorhinchus_sp,plectorhinchus sp,F,IM,5
plectorhinchus_vittatus,plectorhinchus vittatus,S,IM,5
plectroglyphidodon_dickii,plectroglyphidodon dickii,S,OM,2
plectroglyphidodon_flaviventris,plectroglyphidodon flaviventris,S,OM,2
plectroglyphidodon_imparipennis,plectroglyphidodon imparipennis,S,OM,2
plectroglyphidodon_johnstonianus,plectroglyphidodon johnstonianus,S,OM,2
plectroglyphidodon_lacrymatus,plectroglyphidodon lacrymatus,S,HD,2
plectroglyphidodon_leucozonus,plectroglyphidodon leucozonus,S,HD,2
plectroglyphidodon_phoenixensis,plectroglyphidodon phoenixensis,S,OM,2
plectroglyphidodon_sp,plectroglyphidodon sp,S,OM,2
plectropomus_areolatus,plectropomus areolatus,S,FC,5
plectropomus_laevis,plectropomus laevis,S,FC,6
plectropomus_leopardus,plectropomus leopardus,S,FC,6
plectropomus_maculatus,plectropomus maculatus,S,FC,5
plectropomus_oligacanthus,plectropomus oligacanthus,S,FC,5
plectropomus_pessuliferus,plectropomus pessuliferus,S,FC,6
plectropomus_punctatus,plectropomus punctatus,S,FC,6
pogonoperca_punctata,pogonoperca punctata,S,FC,4
pomacanthus_annularis,pomacanthus annularis,S,IM,4
pomacanthus_arcuatus,pomacanthus arcuatus,P,OM,5
pomacanthus_imperator,pomacanthus imperator,S,IM,4
pomacanthus_navarchus,pomacanthus navarchus,S,IM,4
pomacanthus_paru,pomacanthus paru,P,OM,5
pomacanthus_rhomboides,pomacanthus rhomboides,S,IM,5
pomacanthus_semicirculatus,pomacanthus semicirculatus,S,IM,4
pomacanthus_sexstriatus,pomacanthus sexstriatus,S,IM,4
pomacanthus_xanthometopon,pomacanthus xanthometopon,S,IM,4
pomacanthus_zonipectus,pomacanthus zonipectus,S,OM,5
pomacentrus_adelus,pomacentrus adelus,F,HD,2
pomacentrus_alexanderae,pomacentrus alexanderae,L,PK,2
pomacentrus_alleni,pomacentrus alleni,M,PK,2
pomacentrus_amboinensis,pomacentrus amboinensis,M,OM,2
pomacentrus_aurifrons,pomacentrus aurifrons,L,PK,1
pomacentrus_auriventris,pomacentrus auriventris,F,PK,2
pomacentrus_australis,pomacentrus australis,F,OM,2
pomacentrus_baenschi,pomacentrus baenschi,F,OM,2
pomacentrus_bankanensis,pomacentrus bankanensis,F,OM,2
